vx_mps,vy_mps,dpsi_radps,ax_mps2,ay_mps2,deltawheel_rad,TwheelRL_Nm,TwheelRR_Nm,pBrakeF_bar,pBrakeR_bar
3.024519985,-0.062963029,-0.007274931,4.552949905,-0.280750006,-0.007853982,1100,1143.75,0,0
3.04217511189667,-0.036061351467842,-0.00760860563210196,16.5631146453106,2.24858176094856,-0.007853982,1150,1056.25,0,0
3.11825319627601,-0.0228797160591776,-0.00780168472050182,14.4467348081253,1.05614622321262,-0.007853982,1081.25,1050,0,0
3.19161410643927,-0.0165060609583867,-0.0080238373576139,15.4690188345655,0.462633072223167,-0.007853982,1081.25,1050,0,0
3.26711826491373,-0.0134545551062978,-0.00825115917266455,14.7780045853573,0.183251465197249,-0.007853982,1025,1131.25,0,0
3.34250849553977,-0.0120179489077656,-0.0084635202197245,15.5494877978481,0.141998441507442,-0.006981317,1093.75,1012.5,0,0
3.4091166635228,-0.0108186477133235,-0.00804945248461189,15.4817642194392,0.279994873275845,-0.004886922,1087.5,1031.25,0,0
3.48658793129451,-0.0088954152019406,-0.00648551436827329,15.3188097781435,0.488823664452459,-0.001745329,1118.75,1118.75,0,0
3.5513943791609,-0.00587748910799823,-0.00369735483999668,15.9455117952623,0.452818675204394,0,1118.75,1118.75,0,0
3.61899437190739,-0.00315740067104727,-0.0013995839643561,15.4700626925428,0.406640482201294,0.001396263,1118.75,1075,0,0
3.6959347995373,-0.00078344212618705,0.000505127686479719,15.433338817051,0.393468873053436,0.002792527,1031.25,1056.25,0,0
3.74640116019093,0.00144380653149445,0.00230382952424861,16.1516283001383,0.338321184850728,0.003665191,1025,1081.25,0,0
3.82191305545425,0.00326871886875,0.0036981433377093,15.2280068807796,0.289639209439802,0.004363323,1112.5,1031.25,0,0
3.88970190096352,0.00477865732616467,0.0048312269916845,15.8915841048539,0.189903825206149,0.004363323,1112.5,1031.25,0,0
3.95640008624624,0.00565958189589265,0.0053459738862913,15.707538493052,-0.0559813107771674,0.002792527,1081.25,1087.5,0,0
4.02710503055234,0.0051139291652722,0.00439247944501536,15.7011255842114,-0.0959624068528837,0.002094395,1025,1143.75,0,0.012500000125
4.09825650592623,0.00436550941676507,0.00349136592676492,15.710700998855,-0.123809819536766,0.001396263,1031.25,1100,0,0
4.15461787139233,0.00348566309042985,0.00259272234988718,16.0105646928692,-0.145564544866583,0.000698132,1062.5,1112.5,0,0
4.23241837420677,0.00251319952275666,0.0016741089082528,15.3890448171758,-0.162799065416397,0,1062.5,1112.5,0,0
4.2932030698617,0.00147753089050084,0.000733636202494884,15.9613510059526,-0.0941558893549763,0,1093.75,1106.25,0,0
4.36148063786184,0.000880061518152406,0.000324222758403751,15.6813017146964,-0.160662654724728,-0.000872665,1118.75,1131.25,0,0
4.43968279105242,-8.43815808896976e-05,-0.000559215282864567,15.5587778827798,-0.0996972049406099,-0.000872665,1106.25,1093.75,0,0
4.5105286417877,-0.000656677014027112,-0.000964567784944483,15.8111522388407,-0.170794593854554,-0.001745329,1075,1075,0,0
4.56819606669337,-0.00162434902728981,-0.0018709835813094,16.0340467709817,-0.113581043081029,-0.001745329,1075,1075,0,0
4.64445017932888,-0.00221362996692665,-0.00230485259166829,15.5968860594769,-0.0794745860662188,-0.001745329,1168.75,1075,0,0
4.70864057471666,-0.0025840225095945,-0.00252699029716013,15.8904832273015,0.0454126858506025,-0.000872665,1168.75,1093.75,0,0
4.78498322909963,-0.00220009050919906,-0.00192738523064368,15.6070052149292,0.126478944187439,0,1106.25,1212.5,0,0
4.85375983332345,-0.00135544530584429,-0.000927922152496973,15.8575987902882,0.076635032225282,0,1206.25,1206.25,0,0
4.93220466614809,-0.000846537441827325,-0.000450576112845097,15.5995201578767,0.131349765805133,0.000698132,1206.25,1206.25,0,0
5.00982190151018,-3.1265715109124e-05,0.000367259491951789,15.6082258197182,0.0858093940551232,0.000698132,1218.75,1181.25,0,0
5.08589141136605,0.000475749648201789,0.000774780183370682,15.6324787561081,0.0584201001799403,0.000698132,1175,1131.25,0,0
5.15717318900522,0.00079784965266816,0.000984081471475929,15.7617011842351,0.041737393904199,0.000698132,1137.5,1212.5,0,0
5.23010136349025,0.0010070010831766,0.00109635665002573,15.7783654538323,0.115848903329113,0.001396263,1243.75,1150,0,0
5.3062592138357,0.00165588199938801,0.00176040992548997,15.6259151802438,-0.00166285383350661,0.000698132,1243.75,1150,0,0
5.38018220527759,0.00156412178884516,0.00151193940829651,15.7343798192928,0.0888549262732475,0.001396263,1168.75,1250,0,0
5.45726379600372,0.00202846971001658,0.00199767603636516,15.58062799035,0.0664141369259912,0.001396263,1187.5,1125,0,0
5.53010921610237,0.00233429035302859,0.00226538314431194,15.6445828702673,-0.0318374400494311,0.000698132,1150,1231.25,0,0
5.60387718629765,0.0020271573631893,0.00181109969427292,15.6780995660571,0.0694144544592047,0.001396263,1156.25,1225,0,0
5.67884985035493,0.00235561188038513,0.00219253374954901,15.6025917609025,0.0547065588011593,0.001396263,1156.25,1225,0,0
5.75292430093786,0.00257654249859221,0.00241086094941576,15.6372213601025,0.0456135049320632,0.001396263,1143.75,1118.75,0,0
5.82266681019426,0.00273020767972136,0.00254329995742355,15.7722358600684,-0.044629038109191,0.000698132,1206.25,1206.25,0,0
5.89922525798744,0.00232202761516653,0.00201041937367317,15.5680097823206,0.0606236452587228,0.001396263,1131.25,1181.25,0,0
5.9709235466162,0.00258451528824694,0.00235070648076854,15.6583169370046,0.0498649849775424,0.001396263,1193.75,1175,0,0
